Title	Metadata.Publishers	Metrics.Review Score	Metrics.Used Price	Release.Console	Release.Rating	Release.Year
MLB 08: The Show	Sony	85	12.95	PlayStation 3	E	2008
Tom Clancy's Rainbow Six: Vegas 2	Ubisoft	81	24.95	PlayStation 3	E	2008
Mercenaries 2: World in Flames	EA	72	14.95	X360	E	2008
Need for Speed: Undercover	EA	64	17.95	X360	E	2008
Guitar Hero: Aerosmith	Activision	70	14.95	PlayStation 3	M	2008
SoulCalibur IV	"Namco,Ubisoft"	85	22.95	PlayStation 3	E	2008
Valkyria Chronicles	Sega	86	24.95	PlayStation 3	T	2008
Harvest Moon: Tree of Tranquility		65	34.95	Nintendo Wii	M	2008
Star Wars: The Clone Wars - Jedi Alliance		68	17.95	Nintendo DS	T	2008
Need for Speed: Undercover	EA	59	17.95	PlayStation 3	E	2008
Wario Land: Shake It!	Nintendo	78	19.95	Nintendo Wii	T	2008
NBA 2K9	2K	82	14.95	PlayStation 3	E	2008
Major League Baseball 2K9	2K	64	14.95	X360	E	2008
NCAA Football 09	EA	81	14.95	PlayStation 3	E	2008
Kung Fu Panda	Activision	71	17.95	Nintendo DS	E	2008
Devil May Cry 4	Capcom	84	19.95	PlayStation 3	T	2008
Tom Clancy's EndWar	Ubisoft	77	16.95	X360	E	2008
LEGO Batman: The Videogame		73	17.95	Sony PSP	M	2008
BioShock	2K	94	17.95	PlayStation 3	E	2008
Bully: Scholarship Edition	Rockstar	80	17.95	X360	T	2008
Prince of Persia	Ubisoft	81	16.95	X360	T	2008
Kung Fu Panda	Activision	70	16.95	Nintendo Wii	E	2008
Sonic Chronicles: The Dark Brotherhood	Sega	74	17.95	Nintendo DS	E	2008
Chrono Trigger	SquareEnix	92	17.95	Nintendo DS	T	2008
Tomb Raider: Underworld	Eidos	76	17.95	X360	E	2008
skate it	EA	70	39.95	Nintendo Wii	T	2008
The Legendary Starfy	Nintendo	75	24.95	Nintendo DS	E	2008
Mirror's Edge	EA	79	14.95	X360	T	2008
Haze	Ubisoft	55	12.95	PlayStation 3	T	2008
Dissidia: Final Fantasy	SquareEnix	79	17.95	Sony PSP	T	2008
Sid Meier's Civilization: Revolution	2K	84	24.95	X360	T	2008
Wall-E	THQ	51	17.95	Nintendo Wii	E	2008
Prince of Persia	Ubisoft	85	17.95	PlayStation 3	T	2008
NHL 09	EA	88	14.95	X360	E	2008
Brothers in Arms: Hell's Highway	Ubisoft	76	17.95	X360	E	2008
Shaun White Snowboarding	Ubisoft	60	14.95	X360	T	2008
Turok		69	14.95	X360	E	2008
Iron Man	Sega	44	16.95	Sony PSP	E	2008
De Blob	THQ	82	16.95	Nintendo Wii	M	2008
Sonic Riders: Zero Gravity	Sega	56	16.95	Nintendo Wii	T	2008
Rhythm Heaven	Nintendo	83	24.95	Nintendo DS	T	2008
Tomb Raider: Underworld	Eidos	75	17.95	PlayStation 3	T	2008
Advance Wars: Days of Ruin	Nintendo	86	17.95	Nintendo DS	E	2008
LEGO Batman: The Videogame		75	17.95	PlayStation 3	E	2008
Far Cry 2	Ubisoft	85	19.95	PlayStation 3	T	2008
Harvest Moon: Island of Happiness		65	24.95	Nintendo DS	E	2008
Brothers in Arms: Hell's Highway	Ubisoft	76	19.95	PlayStation 3	T	2008
Sonic Unleashed	Sega	54	17.95	PlayStation 3	T	2008
Pinball Hall of Fame: The Williams Collection		82	17.95	Nintendo Wii	T	2008
Sonic Unleashed	Sega	60	17.95	X360	E	2008
Samba de Amigo	Sega	68	12.95	Nintendo Wii	T	2008
?kami	Capcom	90	17.95	Nintendo Wii	M	2008
LEGO Indiana Jones: The Original Adventures		77	17.95	PlayStation 3	E	2008
MotorStorm: Pacific Rift	Sony	82	29.95	PlayStation 3	T	2008
Tiger Woods PGA Tour 09	EA	84	19.95	X360	E	2008
SimCity Creator	EA	67	24.95	Nintendo Wii	E	2008
Tiger Woods PGA Tour 09	EA	82	19.95	PlayStation 3	E	2008
Sid Meier's Civilization: Revolution	2K	80	17.95	Nintendo DS	M	2008
Pure	Disney	83	17.95	PlayStation 3	M	2008
Turok		67	16.95	PlayStation 3	M	2008
Crash: Mind over Mutant		70	17.95	Nintendo Wii	E	2008
Spider-Man: Web of Shadows	Activision	68	19.95	X360	E	2008
Frontlines: Fuel of War	THQ	75	14.95	X360	M	2008
GRID		87	19.95	X360	E	2008
Too Human	Microsoft	65	14.95	X360	T	2008
Speed Racer: The Videogame		69	16.95	Nintendo Wii	M	2008
LEGO Indiana Jones: The Original Adventures		76	17.95	Sony PSP	E	2008
SEGA Bass Fishing	Sega	59	17.95	Nintendo Wii	E	2008
The Chronicles of Narnia: Prince Caspian	Disney	63	16.95	Nintendo Wii	M	2008
Iron Man	Sega	56	14.95	Nintendo DS	M	2008
The Sims 2: Apartment Pets	EA	50	17.95	Nintendo DS	M	2008
MLB 08: The Show	Sony	83	14.95	Sony PSP	M	2008
Iron Man	Sega	42	17.95	PlayStation 3	T	2008
Madagascar: Escape 2 Africa	Activision	55	17.95	Nintendo DS	T	2008
GRID		87	24.95	PlayStation 3	T	2008
NHL 09	EA	88	19.95	PlayStation 3	M	2008
Banjo-Kazooie: Nuts & Bolts	Microsoft	79	17.95	X360	E	2008
Hot Shots Golf: Out of Bounds	Sony	81	34.95	PlayStation 3	T	2008
Rune Factory 2: A Fantasy Harvest Moon		79	17.95	Nintendo DS	T	2008
SimCity Creator	EA	69	17.95	Nintendo DS	M	2008
Patapon	Sony	86	17.95	Sony PSP	T	2008
Shaun White Snowboarding	Ubisoft	63	15.95	PlayStation 3	T	2008
Iron Man	Sega	44	17.95	Nintendo Wii	T	2008
Sega Superstars Tennis	Sega	65	14.95	Nintendo DS	T	2008
Lost Planet: Extreme Condition	Capcom	67	16.95	PlayStation 3	T	2008
Mirror's Edge	EA	79	14.95	PlayStation 3	T	2008
The Incredible Hulk	Sega	46	16.95	Nintendo Wii	T	2008
Condemned 2: Bloodshot	Sega	80	14.95	X360	T	2008
Sega Superstars Tennis	Sega	71	12.95	Nintendo Wii	E	2008
Speed Racer: The Videogame		75	17.95	Nintendo DS	M	2008
Viva Pi$?ata: Pocket Paradise	THQ	82	17.95	Nintendo DS	T	2008
Tom Clancy's EndWar	Ubisoft	76	17.95	PlayStation 3	M	2008
Iron Man	Sega	45	17.95	X360	M	2008
Need for Speed: Undercover	EA	54	27.95	Nintendo Wii	E	2008
Wall-E	THQ	50	14.95	X360	E	2008
Spectrobes: Beyond the Portals	Disney	70	11.95	Nintendo DS	M	2008
MX vs. ATV Untamed	Ubisoft	59	16.95	Sony PSP	T	2008
Mercenaries 2: World in Flames	EA	72	15.95	PlayStation 3	E	2008
Infinite Undiscovery	SquareEnix	68	17.95	X360	T	2008
TNA iMPACT!	Midway	62	14.95	X360	M	2008
Enemy Territory: Quake Wars	Activision	69	14.95	X360	T	2008
Fire Emblem: Shadow Dragon	Nintendo	81	19.95	Nintendo DS	M	2008
Neopets Puzzle Adventure	Capcom	70	17.95	Nintendo DS	T	2008
Tales of Vesperia	Namco	79	27.95	X360	M	2008
SingStar ABBA	Sony	70	17.95	PlayStation 3	T	2008
Dragon Ball Z: Burst Limit	"Atari,Namco"	72	17.95	X360	E	2008
Apollo Justice: Ace Attorney	Capcom	78	24.95	Nintendo DS	T	2008
Castlevania: Order of Ecclesia	Konami	85	24.95	Nintendo DS	T	2008
Mega Man Star Force 2: Zerker X Ninja	Capcom	55	17.95	Nintendo DS	T	2008
Enemy Territory: Quake Wars	Activision	60	16.95	PlayStation 3	T	2008
Namco Museum: Virtual Arcade	Namco	63	17.95	X360	T	2008
NASCAR 09	EA	69	19.95	X360	T	2008
Turning Point: Fall of Liberty		43	7.95	X360	M	2008
Summer Athletics 2009		56	19.95	Nintendo Wii	M	2008
Unreal Tournament III	Midway	82	14.95	X360	M	2008
Shaun White Snowboarding	Ubisoft	63	16.95	Nintendo DS	T	2008
Dark Sector		72	14.95	PlayStation 3	T	2008
The Last Remnant	SquareEnix	66	14.95	X360	T	2008
Dragon Ball Z: Burst Limit	"Atari,Namco"	71	19.95	PlayStation 3	M	2008
NASCAR 09	EA	65	22.95	PlayStation 3	E	2008
Turning Point: Fall of Liberty		42	7.95	PlayStation 3	T	2008
MX vs. ATV Untamed	THQ	70	24.95	Nintendo Wii	E	2008
Crash: Mind over Mutant		60	24.95	X360	M	2008
The Incredible Hulk	Sega	55	17.95	X360	E	2008
Silent Hill: Homecoming	Konami	70	17.95	X360	T	2008
TNA iMPACT!	Midway	64	12.95	PlayStation 3	M	2008
The Incredible Hulk	Sega	55	16.95	PlayStation 3	T	2008
Kung Fu Panda	Activision	76	19.95	PlayStation 3	M	2008
Dark Sector		72	13.95	X360	M	2008
Tales of Symphonia: Dawn of the New World	Namco	68	24.95	Nintendo Wii	T	2008
Valkyrie Profile: Covenant of the Plume	SquareEnix	74	24.95	Nintendo DS	M	2008
Spider-Man: Web of Shadows	Activision	67	24.95	PlayStation 3	E	2008
TV Show King		65	17.95	Nintendo Wii	T	2008
AC/DC Live: Rock Band - Track Pack		63	14.95	X360	M	2008
The Chronicles of Narnia: Prince Caspian	Disney	54	10.95	Nintendo DS	M	2008
Hot Shots Golf: Open Tee 2	Sony	82	14.95	Sony PSP	E	2008
AC/DC Live: Rock Band - Track Pack		60	14.95	PlayStation 3	E	2008
Harvest Moon: Magical Melody		69	23.95	Nintendo Wii	T	2008
Dynasty Warriors 6		59	24.95	PlayStation 3	M	2008
Order Up!		76	17.95	Nintendo Wii	T	2008
NBA Ballers: Chosen One	Midway	55	9.95	X360	T	2008
Age of Empires: Mythologies	THQ	78	17.95	Nintendo DS	T	2008
LocoRoco 2	Sony	85	11.95	Sony PSP	M	2008
Star Ocean: First Departure	SquareEnix	74	17.95	Sony PSP	T	2008
Lost: Via Domus	Ubisoft	54	16.95	PlayStation 3	T	2008
Tetris Party		75	24.95	Nintendo Wii	T	2008
Bully: Scholarship Edition	Rockstar	83	17.95	Nintendo Wii	E	2008
The Spiderwick Chronicles		62	16.95	Nintendo Wii	M	2008
Dynasty Warriors 6		60	24.95	X360	M	2008
Facebreaker	EA	54	12.95	X360	M	2008
Ninja Gaiden: Dragon Sword		83	12.95	Nintendo DS	E	2008
Condemned 2: Bloodshot	Sega	82	14.95	PlayStation 3	T	2008
Silent Hill: Homecoming	Konami	71	17.95	PlayStation 3	E	2008
Command & Conquer: Red Alert 3	EA	77	14.95	X360	T	2008
Viking: Battle for Asgard	Sega	68	14.95	X360	M	2008
Beijing 2008	Sega	60	14.95	X360	T	2008
Don King Presents: Prizefighter	2K	56	14.95	X360	M	2008
Bomberman		73	12.95	Sony PSP	M	2008
Ferrari Challenge Trofeo Pirelli		71	17.95	PlayStation 3	E	2008
Command & Conquer 3: Kane's Wrath	EA	75	17.95	X360	M	2008
Lost: Via Domus	Ubisoft	55	17.95	X360	M	2008
NHL 2K9	2K	69	14.95	X360	T	2008
Eternal Sonata	Namco	80	24.95	PlayStation 3	M	2008
Viva Pi$?ata: Trouble in Paradise	Microsoft	82	17.95	X360	T	2008
FlatOut: Head On		74	9.95	Sony PSP	E	2008
Viking: Battle for Asgard	Sega	65	16.95	PlayStation 3	M	2008
Neopets Puzzle Adventure	Capcom	52	14.95	Nintendo Wii	E	2008
TNA iMPACT!	Midway	43	14.95	Nintendo Wii	E	2008
Tomb Raider: Underworld	Eidos	70	17.95	Nintendo Wii	T	2008
The Club	Sega	76	14.95	X360	T	2008
The Chronicles of Narnia: Prince Caspian	Disney	56	14.95	X360	M	2008
Cabela's Dangerous Hunts 2009	Activision	42	19.95	X360	M	2008
Dark Messiah of Might and Magic: Elements	Ubisoft	52	17.95	X360	T	2008
Fracture		63	14.95	X360	T	2008
Bomberman Land		57	19.95	Nintendo Wii	T	2008
Nitrobike	Ubisoft	49	14.95	Nintendo Wii	E	2008
Culdcept Saga	Namco	75	17.95	X360	T	2008
Facebreaker		53	14.95	PlayStation 3	E	2008
MLB Power Pros 2008	2K	83	22.95	Nintendo Wii	E	2008
Mushroom Men: The Spore Wars		72	17.95	Nintendo Wii	E	2008
Dragon Quest V: Hand of the Heavenly Bride	SquareEnix	84	29.95	Nintendo DS	T	2008
Ninjatown		80	19.95	Nintendo DS	T	2008
Super Dodgeball Brawlers		65	19.95	Nintendo DS	T	2008
Dokapon Kingdom		72	17.95	Nintendo Wii	M	2008
Alone in the Dark	Atari	58	14.95	X360	M	2008
NBA 09: The Inside	Sony	63	14.95	PlayStation 3	M	2008
Sega Superstars Tennis	Sega	67	16.95	PlayStation 3	M	2008
Baja: Edge of Control	THQ	65	16.95	X360	T	2008
Destroy All Humans! Big Willy Unleashed	THQ	53	17.95	Nintendo Wii	T	2008
Space Invaders Extreme	SquareEnix	85	16.95	Nintendo DS	T	2008
Ultimate Band	Disney	69	14.95	Nintendo DS	E	2008
The Club	Sega	72	14.95	PlayStation 3	M	2008
Madagascar: Escape 2 Africa	Activision	58	24.95	PlayStation 3	M	2008
NBA Ballers: Chosen One	Midway	54	14.95	PlayStation 3	M	2008
Dream Pinball 3D		54	16.95	Nintendo Wii	M	2008
Madagascar: Escape 2 Africa	Activision	62	19.95	X360	T	2008
Pro Evolution Soccer 2008	Konami	83	17.95	Nintendo Wii	T	2008
Avalon Code		71	27.95	Nintendo DS	M	2008
Disgaea DS		82	24.95	Nintendo DS	M	2008
Guitar Rock Tour		60	13.95	Nintendo DS	T	2008
Lost in Blue 3	Konami	59	17.95	Nintendo DS	M	2008
Syberia		52	23.95	Nintendo DS	T	2008
Afrika	Sony	63	47.95	PlayStation 3	T	2008
NFL Head Coach 09	EA	64	14.95	PlayStation 3	T	2008
NHL 2K9	2K	70	14.95	PlayStation 3	T	2008
Brothers in Arms: Double Time	Ubisoft	45	17.95	Nintendo Wii	E	2008
ObsCure: The Aftermath		53	16.95	Nintendo Wii	T	2008
MotoGP 08		68	16.95	X360	T	2008
NFL Head Coach 09	EA	67	12.95	X360	E	2008
NFL Tour	EA	49	12.95	X360	M	2008
Pinball Hall of Fame: The Williams Collection		78	17.95	Sony PSP	T	2008
Baja: Edge of Control	THQ	61	17.95	PlayStation 3	M	2008
NFL Tour	EA	45	14.95	PlayStation 3	E	2008
Wall-E	THQ	51	17.95	PlayStation 3	M	2008
Ninja Reflex	EA	49	14.95	Nintendo Wii	E	2008
Conflict: Denied Ops	Eidos	52	12.95	X360	T	2008
Top Spin 3	2K	78	19.95	X360	T	2008
Blitz: The League II	Midway	62	14.95	PlayStation 3	M	2008
Hellboy: The Science of Evil	Konami	47	16.95	PlayStation 3	T	2008
Castlevania Judgment	Konami	49	17.95	Nintendo Wii	T	2008
Death Jr. II: Root of Evil	Eidos	71	17.95	Nintendo Wii	E	2008
Raiden IV		63	32.95	X360	T	2008
Metal Slug 7		70	17.95	Nintendo DS	M	2008
Spider-Man: Web of Shadows	Activision	77	15.95	Nintendo DS	E	2008
Trauma Center: Under The Knife 2		79	19.95	Nintendo DS	T	2008
Fracture		62	14.95	PlayStation 3	M	2008
Alone in the Dark	Atari	39	14.95	Nintendo Wii	T	2008
Final Fantasy Fables: Chocobo's Dungeon	SquareEnix	76	17.95	Nintendo Wii	M	2008
The King of Fighters Collection: The Orochi Saga		70	17.95	Nintendo Wii	E	2008
Klonoa: Door to Phantomile	Namco	77	17.95	Nintendo Wii	T	2008
Samurai Warriors: Katana		53	17.95	Nintendo Wii	E	2008
Battle of the Bands	THQ	58	14.95	Nintendo Wii	T	2008
Hellboy: The Science of Evil	Konami	44	14.95	X360	M	2008
Dragon Ball: Origins	Atari	78	15.95	Nintendo DS	M	2008
Ninja Reflex	EA	54	12.95	Nintendo DS	T	2008
Space Bust-A-Move	SquareEnix	71	17.95	Nintendo DS	M	2008
Top Spin 3	2K	75	24.95	PlayStation 3	M	2008
UEFA Euro 2008	EA	79	17.95	PlayStation 3	T	2008
"Blast Works: Build, Trade, Destroy"		78	14.95	Nintendo Wii	T	2008
FIFA Street 3	EA	63	14.95	X360	T	2008
Blitz: The League II	Midway	68	12.95	X360	M	2008
Space Chimps		57	14.95	X360	T	2008
The Spiderwick Chronicles		59	14.95	X360	E	2008
Etrian Odyssey II: Heroes of Lagaard		82	24.95	Nintendo DS	T	2008
Line Rider 2: Unbound		59	8.95	Nintendo DS	M	2008
The King of Fighters Collection: The Orochi Saga		61	17.95	Sony PSP	E	2008
Target: Terror	Konami	33	17.95	Nintendo Wii	M	2008
Legendary	Atari	47	17.95	X360	T	2008
Universe at War: Earth Assault	Sega	66	14.95	X360	T	2008
Smash Court Tennis 3	Atari	55	14.95	X360	E	2008
Code Lyoko: Fall of X.A.N.A		51	14.95	Nintendo DS	M	2008
Knights in the Nightmare		76	29.95	Nintendo DS	M	2008
Lock's Quest	THQ	80	14.95	Nintendo DS	E	2008
Master of the Monster Lair		63	14.95	Nintendo DS	M	2008
N+	Atari	82	14.95	Nintendo DS	M	2008
Pipe Mania		71	14.95	Nintendo DS	T	2008
The Spiderwick Chronicles		60	12.95	Nintendo DS	E	2008
Summon Night: Twin Age		73	24.95	Nintendo DS	E	2008
Wild Arms XF		64	17.95	Sony PSP	M	2008
FIFA Street 3	EA	63	17.95	PlayStation 3	T	2008
MotoGP 08		65	17.95	PlayStation 3	T	2008
Harvey Birdman: Attorney at Law	Capcom	60	14.95	Nintendo Wii	M	2008
Let's Tap	Sega	70	17.95	Nintendo Wii	E	2008
NHL 2K9	2K	65	14.95	Nintendo Wii	T	2008
Conflict: Denied Ops	Eidos	51	17.95	PlayStation 3	E	2008
Worms: A Space Oddity	THQ	64	17.95	Nintendo Wii	M	2008
UEFA Euro 2008	EA	80	14.95	X360	M	2008
Overlord: Raising Hell		72	17.95	PlayStation 3	T	2008
Battle Fantasia		71	22.95	X360	M	2008
Bangai-O Spirits		83	14.95	Nintendo DS	M	2008
Dungeon Explorer: Warriors of Ancient Arts		60	17.95	Nintendo DS	M	2008
From the Abyss		60	19.95	Nintendo DS	T	2008
New International Track & Field	Konami	73	14.95	Nintendo DS	M	2008
Soul Bubbles	Eidos	78	14.95	Nintendo DS	T	2008
Tropix!		59	23.95	Nintendo DS	M	2008
Unsolved Crimes		66	17.95	Nintendo DS	T	2008
Zubo	EA	75	14.95	Nintendo DS	E	2008
Ford Racing Off Road		47	12.95	Sony PSP	M	2008
Harvey Birdman: Attorney at Law	Capcom	62	14.95	Sony PSP	M	2008
Secret Agent Clank	Sony	72	23.95	Sony PSP	M	2008
Space Invaders Extreme	SquareEnix	84	16.95	Sony PSP	M	2008
Armored Core: For Answer	Ubisoft	62	29.95	PlayStation 3	M	2008
Legendary	Atari	50	19.95	PlayStation 3	E	2008
Agatha Christie: Evil Under the Sun		46	17.95	Nintendo Wii	M	2008
Agatha Christie: And Then There Were None		50	17.95	Nintendo Wii	M	2008
Armored Core: For Answer	Ubisoft	64	24.95	X360	T	2008
Cradle of Rome		63	17.95	Nintendo DS	E	2008
The Dark Spire		69	24.95	Nintendo DS	T	2008
"Flower, Sun and Rain"		54	23.95	Nintendo DS	M	2008
Insecticide		55	12.95	Nintendo DS	T	2008
Izuna 2: The Unemployed Ninja Returns		65	17.95	Nintendo DS	E	2008
Looney Tunes: Cartoon Conductor	Eidos	67	13.95	Nintendo DS	M	2008
Nanostray 2		75	12.95	Nintendo DS	M	2008
Hellboy: The Science of Evil	Konami	42	14.95	Sony PSP	E	2008
Pipe Mania		74	12.95	Sony PSP	T	2008
UEFA Euro 2008	EA	68	19.95	Sony PSP	E	2008
Vampire Rain		30	24.95	PlayStation 3	E	2008
Baroque		50	19.95	Nintendo Wii	T	2008
Supreme Commander		56	17.95	X360	T	2008
Hail to the Chimp		52	16.95	X360	M	2008
Assassin's Creed: Altar's Chronicles	Ubisoft	58	11.95	Nintendo DS	T	2008
The Legend of Kage 2	SquareEnix	70	14.95	Nintendo DS	E	2008
Rhapsody: A Musical Adventure		67	12.95	Nintendo DS	M	2008
Secret Files: Tunguska		71	17.95	Nintendo DS	M	2008
Fading Shadows		62	17.95	Sony PSP	E	2008
Hail to the Chimp		51	15.95	PlayStation 3	M	2008
Secret Files: Tunguska		64	17.95	Nintendo Wii	M	2008
Chicken Hunter		39	17.95	Nintendo DS	T	2008